timestamp,STILL,TILTING,ON_FOOT,WALKING,IN_VEHICLE,ON_BICYCLE,UNDEFINED,RUNNING
1680874400792,84.0,,2.0,2.0,8.0,1.0,2.0,
1680874416026,97.0,,,,1.0,,2.0,
1680874431250,96.0,,1.0,1.0,1.0,,1.0,
1680874446514,99.0,,,,,,1.0,
1680874452090,99.0,,,,,,1.0,
1680874457381,97.0,,1.0,1.0,1.0,,1.0,
1680874472689,83.0,,2.0,2.0,9.0,,1.0,
1680874487969,100.0,,,,,,,
1680874503219,96.0,,1.0,1.0,2.0,,,
1680874518510,98.0,,,,1.0,,1.0,
1680874533883,97.0,,,,1.0,,1.0,
1680874549140,99.0,,,,,,1.0,
1680874564387,97.0,,1.0,1.0,1.0,,,
1680874579643,100.0,,,,,,,
1680874594900,97.0,,,,1.0,,2.0,
1680874610176,97.0,,,,1.0,,1.0,
1680874625433,99.0,,,,,,1.0,
1680874640710,91.0,,1.0,1.0,5.0,,,
1680874655995,98.0,,,,1.0,,1.0,
1680874671274,99.0,,,,,,1.0,
1680874686496,97.0,,,,1.0,,2.0,
1680874701729,96.0,,1.0,1.0,1.0,,1.0,
1680874709582,,100.0,,,,,,
1680874709623,99.0,,,,,,1.0,
1680874724870,,100.0,,,,,,
1680874724918,99.0,,,,,,1.0,
1680874740254,,100.0,,,,,,
1680874740300,95.0,,1.0,1.0,2.0,,2.0,
1680874755573,99.0,,,,,,1.0,
1680874770843,96.0,,1.0,1.0,1.0,,2.0,
1680874786136,98.0,,,,,,2.0,
1680874801423,97.0,,,,1.0,,1.0,
1680874816661,98.0,,,,1.0,,1.0,
1680874831928,57.0,,2.0,2.0,36.0,,2.0,
1680874847170,48.0,,4.0,4.0,39.0,1.0,1.0,
1680874862464,,100.0,,,,,,
1680874862519,86.0,,3.0,3.0,7.0,,2.0,
1680874877754,99.0,,,,,,1.0,
1680874892962,,100.0,,,,,,
1680874893000,95.0,,1.0,1.0,2.0,,1.0,
1680874908304,98.0,,,,1.0,,1.0,
1680874923600,,100.0,,,,,,
1680874923650,80.0,,6.0,6.0,6.0,,3.0,
1680874938938,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
