timestamp,STILL,IN_VEHICLE,UNDEFINED,TILTING,ON_FOOT,WALKING,ON_BICYCLE,RUNNING
1680617335680,33.0,18.0,2.0,,7.0,7.0,23.0,1.0
1680617352784,52.0,27.0,2.0,,7.0,7.0,3.0,
1680617369976,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680617387038,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680617404098,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680617428374,47.0,14.0,1.0,,11.0,11.0,19.0,1.0
1680617566443,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680618629613,96.0,,1.0,,1.0,1.0,2.0,
1680592449204,100.0,,,,,,,
1680593455672,50.0,20.0,2.0,,8.0,8.0,11.0,1.0
1680593475925,100.0,,,,,,,
1680593711355,99.0,,1.0,,,,,
1680595115464,99.0,,1.0,,,,,
1680595415606,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680595522024,,,,100.0,,,,
1680595522076,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680595559842,,,,100.0,,,,
1680595559960,54.0,13.0,2.0,,13.0,13.0,7.0,
1680595716389,,,,100.0,,,,
1680595716494,97.0,1.0,1.0,,,,,
1680595745877,99.0,,1.0,,,,,
1680595767870,99.0,,1.0,,,,,
1680595785076,96.0,2.0,2.0,,,,,
1680595802335,98.0,,2.0,,,,,
1680595819616,97.0,1.0,,,1.0,1.0,,
1680595836897,87.0,4.0,2.0,,3.0,3.0,2.0,
1680595854128,73.0,6.0,3.0,,10.0,10.0,4.0,
1680595871353,90.0,1.0,2.0,,4.0,4.0,2.0,
1680595888520,98.0,,2.0,,,,,
1680596389894,2.0,2.0,1.0,,88.0,88.0,5.0,2.0
1680596448106,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680596484466,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680596510202,98.0,,2.0,,,,,
1680596527203,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680596559472,28.0,19.0,2.0,,25.0,25.0,10.0,1.0
1680596597534,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680596633352,33.0,18.0,2.0,,24.0,24.0,15.0,1.0
1680596639587,86.0,6.0,1.0,,4.0,4.0,1.0,
1680596653355,75.0,6.0,2.0,,6.0,6.0,7.0,
1680596670590,60.0,10.0,2.0,,11.0,11.0,9.0,
1680596685840,96.0,1.0,2.0,,1.0,1.0,,
1680596703054,54.0,9.0,2.0,,13.0,13.0,13.0,1.0
1680596787542,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680596825311,69.0,14.0,2.0,,8.0,8.0,2.0,
1680596841355,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680596858501,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680596875702,97.0,,2.0,,1.0,1.0,,
1680596892892,97.0,1.0,1.0,,1.0,1.0,,
1680596910131,97.0,1.0,1.0,,1.0,1.0,,
1680596927313,98.0,,2.0,,,,,
1680596944477,52.0,14.0,2.0,,17.0,17.0,10.0,1.0
1680596961651,96.0,2.0,1.0,,1.0,1.0,,
1680596978860,97.0,,3.0,,,,,
1680596996056,70.0,4.0,1.0,,17.0,17.0,5.0,
1680597019294,87.0,1.0,2.0,,4.0,4.0,5.0,
1680597036468,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680598027534,97.0,1.0,1.0,,,,,
1680573830212,99.0,,1.0,,,,,
1680575693726,100.0,,,,,,,
1680576194369,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680576226978,1.0,1.0,2.0,,90.0,90.0,3.0,3.0
1680576528537,1.0,1.0,2.0,,93.0,93.0,1.0,2.0
1680576545737,4.0,2.0,2.0,,81.0,81.0,6.0,5.0
1680576562938,,,,100.0,,,,
1680576562953,5.0,1.0,1.0,,88.0,88.0,2.0,3.0
1680576802380,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680576859474,66.0,8.0,2.0,,13.0,13.0,4.0,
1680576887276,42.0,12.0,1.0,,24.0,24.0,12.0,1.0
1680576904295,50.0,10.0,2.0,,27.0,27.0,8.0,
1680576921312,84.0,2.0,1.0,,10.0,10.0,2.0,
1680576938343,73.0,4.0,1.0,,16.0,16.0,4.0,
1680576955366,82.0,3.0,1.0,,8.0,8.0,5.0,
1680576972380,98.0,,1.0,,1.0,1.0,,
1680576991335,50.0,8.0,2.0,,19.0,19.0,15.0,1.0
1680577008348,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680577025335,55.0,18.0,2.0,,7.0,7.0,4.0,
1680577042335,39.0,26.0,3.0,,12.0,12.0,10.0,
1680577059375,76.0,7.0,2.0,,7.0,7.0,5.0,
1680577076391,74.0,6.0,3.0,,9.0,9.0,4.0,
1680577093404,75.0,7.0,2.0,,6.0,6.0,6.0,
1680577110413,59.0,10.0,1.0,,13.0,13.0,10.0,1.0
1680577127418,,,,100.0,,,,
1680577127474,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680577144507,2.0,1.0,2.0,,88.0,88.0,3.0,4.0
1680577161528,,,,100.0,,,,
1680577161552,3.0,2.0,,,90.0,90.0,2.0,2.0
1680577174240,,,,100.0,,,,
1680577174265,5.0,3.0,2.0,,85.0,85.0,3.0,1.0
1680577218496,,,,100.0,,,,
1680577218525,96.0,2.0,1.0,,1.0,1.0,,
1680577235546,63.0,7.0,3.0,,11.0,11.0,11.0,
1680577252519,96.0,,2.0,,1.0,1.0,1.0,
1680577269559,83.0,5.0,2.0,,3.0,3.0,6.0,
1680577286586,,,,100.0,,,,
1680577286612,97.0,1.0,2.0,,,,,
1680577303610,,,,100.0,,,,
1680577303643,94.0,3.0,2.0,,1.0,1.0,,
1680577320648,60.0,10.0,2.0,,9.0,9.0,9.0,
1680577337669,97.0,,2.0,,,,1.0,
1680577354672,96.0,,2.0,,1.0,1.0,1.0,
1680577371677,,,,100.0,,,,
1680577371712,98.0,1.0,1.0,,,,,
1680577392616,100.0,,,,,,,
1680577409596,97.0,1.0,2.0,,,,,
1680577919285,,,,100.0,,,,
1680577919317,100.0,,,,,,,
1680586478924,,,,100.0,,,,
1680586478964,99.0,,1.0,,,,,
1680586500197,97.0,1.0,2.0,,,,,
1680586510248,98.0,1.0,1.0,,,,,
1680586525309,100.0,,,,,,,
1680586752797,98.0,,2.0,,,,,
1680587855950,100.0,,,,,,,
1680588164033,27.0,21.0,1.0,,26.0,26.0,8.0,1.0
1680588201369,100.0,,,,,,,
1680589175654,98.0,1.0,1.0,,,,,
1680589501053,49.0,21.0,2.0,,6.0,6.0,4.0,
