timestamp,STILL,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING,TILTING
1680847737781,100.0,,,,,,,
1680847762067,100.0,,,,,,,
1680847786562,100.0,,,,,,,
1680847808185,100.0,,,,,,,
1680847832546,100.0,,,,,,,
1680847857039,100.0,,,,,,,
1680847881574,100.0,,,,,,,
1680849320400,100.0,,,,,,,
1680853292608,100.0,,,,,,,
1680825617318,100.0,,,,,,,
1680825641550,100.0,,,,,,,
1680827148809,,,,,,,,100.0
1680827148840,100.0,,,,,,,
1680827680473,100.0,,,,,,,
1680833189677,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680833189681,,,,,,,,100.0
1680833221612,,,,,,,,100.0
1680833221624,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680833260868,,,,,,,,100.0
1680833261190,2.0,2.0,2.0,3.0,88.0,88.0,2.0,
1680833288690,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680833321405,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680833354346,,1.0,7.0,82.0,9.0,9.0,,
1680833379496,,,,100.0,,,,
1680833403755,,,,100.0,,,,
1680833427967,,,,100.0,,,,
1680833452154,,2.0,,96.0,2.0,2.0,,
1680833484825,,,,,,,,100.0
1680833484874,,1.0,8.0,91.0,,,,
1680833517543,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680833550593,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680833583758,,,,,,,,100.0
1680833583795,36.0,2.0,24.0,3.0,24.0,24.0,,
1680833616490,53.0,1.0,31.0,1.0,5.0,5.0,,
1680833649170,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680833681862,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680833720352,64.0,3.0,5.0,6.0,18.0,18.0,,
1680833744607,100.0,,,,,,,
