timestamp,TILTING,STILL,IN_VEHICLE,ON_FOOT,WALKING,ON_BICYCLE,UNDEFINED,RUNNING
1680878552790,,99.0,,,,,1.0,
1680878575046,,100.0,,,,,,
1680878602062,,100.0,,,,,,
1680878619147,,100.0,,,,,,
1680878634295,,96.0,1.0,1.0,1.0,,1.0,
1680878649459,,98.0,,,,,2.0,
1680878660867,,98.0,1.0,,,,1.0,
1680878676044,,99.0,,,,,1.0,
1680878691193,,99.0,,,,,1.0,
1680878706423,,98.0,1.0,,,,1.0,
1680878721576,,96.0,1.0,1.0,1.0,,1.0,
1680878736852,,97.0,1.0,,,,2.0,
1680878905043,,100.0,,,,,,
1680879125257,,66.0,1.0,26.0,26.0,5.0,2.0,
1680880026857,,100.0,,,,,,
1680880026999,,100.0,,,,,,
1680880027060,,100.0,,,,,,
1680880373713,,100.0,,,,,,
1680880732854,,100.0,,,,,,
1680881348711,,100.0,,,,,,
1680881639765,,96.0,3.0,,,,,
1680881998483,,100.0,,,,,,
1680882358025,,100.0,,,,,,
1680882360111,,100.0,,,,,,
1680882717569,,100.0,,,,,,
1680882724294,,100.0,,,,,,
1680883076330,,100.0,,,,,,
1680883397634,,100.0,,,,,,
1680883535878,,1.0,1.0,91.0,91.0,2.0,3.0,2.0
1680883572797,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680883583112,,3.0,,92.0,92.0,1.0,1.0,3.0
1680883588355,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680883593531,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680883603772,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680883608993,100.0,,,,,,,
1680883609036,,3.0,,93.0,93.0,1.0,2.0,1.0
1680883614132,,,,97.0,97.0,,3.0,
1680883619317,,,,96.0,96.0,1.0,2.0,1.0
1680883624579,,,,94.0,94.0,,2.0,4.0
1680883629843,,,,97.0,97.0,,,3.0
1680883635061,,2.0,,96.0,96.0,,1.0,1.0
1680883640303,,,,96.0,96.0,,2.0,2.0
1680883645485,,,,97.0,97.0,,3.0,
1680883650689,,,,97.0,97.0,,1.0,2.0
1680883655913,,,,96.0,96.0,,2.0,2.0
1680883661089,,,,96.0,96.0,,1.0,3.0
1680883666357,,,,96.0,96.0,,1.0,3.0
1680883671567,,,,97.0,97.0,,1.0,2.0
1680883676764,,,,97.0,97.0,,,3.0
1680883681991,,,,97.0,97.0,,,3.0
1680883687273,100.0,,,,,,,
1680883687316,,,,96.0,96.0,,,4.0
1680883692572,100.0,,,,,,,
1680883692614,,,,96.0,96.0,,2.0,2.0
1680883716751,100.0,,,,,,,
