timestamp,TILTING,STILL,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING
1680876351854,,97.0,1.0,1.0,,1.0,1.0,
1680876368835,,46.0,2.0,16.0,3.0,25.0,25.0,
1680876385829,,59.0,1.0,12.0,3.0,20.0,20.0,
1680876402794,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680876419742,,96.0,2.0,1.0,,1.0,1.0,
1680876436686,,98.0,2.0,,,,,
1680876453637,,99.0,1.0,,,,,
1680876475367,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680876492337,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680876509351,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680876526577,,97.0,1.0,1.0,,1.0,1.0,
1680876543607,,76.0,3.0,11.0,,9.0,9.0,
1680876560567,,45.0,2.0,14.0,2.0,32.0,32.0,
1680876577551,,49.0,2.0,15.0,2.0,24.0,24.0,
1680876594517,,98.0,2.0,,,,,
1680876611490,,94.0,1.0,2.0,,2.0,2.0,
1680876628465,,89.0,2.0,2.0,,6.0,6.0,
1680876645431,,35.0,1.0,27.0,2.0,29.0,29.0,
1680876662429,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680876676820,,69.0,2.0,11.0,1.0,15.0,15.0,
1680876693787,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680876710731,,96.0,1.0,1.0,,1.0,1.0,
1680876727700,,90.0,1.0,5.0,,2.0,2.0,
1680876744678,,87.0,2.0,6.0,,4.0,4.0,
1680876761642,,88.0,2.0,6.0,,3.0,3.0,
1680876778600,,96.0,1.0,1.0,,2.0,2.0,
1680876795576,,81.0,1.0,7.0,,8.0,8.0,
1680876812599,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680876829571,,53.0,2.0,31.0,1.0,10.0,10.0,
1680876846556,,96.0,1.0,1.0,,1.0,1.0,
1680876863513,,97.0,1.0,1.0,,1.0,1.0,
1680876880504,,98.0,1.0,1.0,,,,
1680876897453,,97.0,1.0,1.0,,1.0,1.0,
1680876914416,,96.0,2.0,1.0,,1.0,1.0,
1680876931412,,97.0,2.0,1.0,,,,
1680876948366,,97.0,2.0,1.0,,,,
1680876965325,,97.0,1.0,1.0,,1.0,1.0,
1680876979875,,74.0,2.0,8.0,2.0,11.0,11.0,
1680876996894,,44.0,2.0,11.0,3.0,34.0,34.0,
1680877013888,,96.0,1.0,1.0,,1.0,1.0,
1680877030846,,98.0,1.0,1.0,,,,
1680877047811,,66.0,3.0,13.0,1.0,14.0,14.0,
1680877064773,,80.0,3.0,8.0,1.0,7.0,7.0,
1680877081769,,97.0,1.0,1.0,,1.0,1.0,
1680877098755,,73.0,2.0,6.0,2.0,12.0,12.0,
1680863056985,,57.0,2.0,7.0,5.0,23.0,23.0,
1680865293033,100.0,,,,,,,
1680865293085,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680865326775,,,2.0,,,97.0,97.0,1.0
1680865650127,100.0,,,,,,,
1680865650163,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680865844304,,70.0,2.0,14.0,2.0,5.0,5.0,
1680866686974,,100.0,,,,,,
1680867111492,,99.0,1.0,,,,,
1680867966537,100.0,,,,,,,
1680867966582,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680868582939,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680868635013,100.0,,,,,,,
1680868635151,,2.0,2.0,,2.0,92.0,92.0,2.0
1680868686908,100.0,,,,,,,
1680868686944,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680868925610,100.0,,,,,,,
1680868925650,,100.0,,,,,,
1680868948968,,40.0,2.0,27.0,3.0,10.0,10.0,
1680868981591,,63.0,,17.0,2.0,6.0,6.0,
1680869514497,,100.0,,,,,,
1680870412650,100.0,,,,,,,
1680870412704,,100.0,,,,,,
1680837828787,,98.0,2.0,,,,,
1680838675921,,100.0,,,,,,
1680838704741,,100.0,,,,,,
1680839531556,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680839568920,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680839585830,,7.0,3.0,2.0,1.0,85.0,85.0,
1680839602736,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680839619716,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680839636718,,98.0,1.0,1.0,,,,
1680839662376,,3.0,2.0,2.0,3.0,87.0,87.0,1.0
1680839679235,,8.0,2.0,3.0,1.0,85.0,85.0,
