timestamp,TILTING,STILL,UNDEFINED,IN_VEHICLE,ON_FOOT,WALKING,ON_BICYCLE,RUNNING
1680880267326,,98.0,1.0,1.0,,,,
1680880284367,,97.0,2.0,1.0,,,,
1680880301412,,92.0,2.0,4.0,2.0,2.0,,
1680880318441,,86.0,3.0,9.0,1.0,1.0,,
1680880335475,,28.0,3.0,25.0,23.0,23.0,3.0,
1680880352482,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680880369494,,71.0,2.0,14.0,9.0,9.0,2.0,
1680880386499,,71.0,2.0,12.0,11.0,11.0,2.0,
1680880403489,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680880416202,100.0,,,,,,,
1680880416253,,33.0,2.0,20.0,24.0,24.0,3.0,
1680880433271,100.0,,,,,,,
1680880433318,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680880450340,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680880467334,,11.0,2.0,83.0,1.0,1.0,,
1680880484337,,97.0,1.0,1.0,1.0,1.0,,
1680880501350,,96.0,2.0,2.0,,,,
1680880518353,,94.0,1.0,4.0,1.0,1.0,,
1680880535371,,99.0,1.0,,,,,
1680880552386,,97.0,1.0,2.0,,,,
1680880569499,,83.0,2.0,15.0,,,,
1680880586528,,63.0,2.0,17.0,8.0,8.0,3.0,
1680880599101,,49.0,2.0,28.0,12.0,12.0,2.0,
